# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
330.493708550333,80.1619772062173,22.55245,21.33905,21.09688,20.92969,20.80783
330.791405382787,80.2484477903803,22.4128,22.20313,22.02379,21.91573,21.8554
330.649909552258,80.1994052082915,23.21103,22.58517,22.6729,22.14396,21.62482
330.918882562862,80.3124123212632,23.00042,22.97006,22.66755,23.22908,22.14319
330.651307740203,80.2264476224574,23.56041,23.58099,23.74492,22.24105,21.67533
330.522957994334,80.1799503487304,24.13413,24.24454,24.24787,21.74686,20.0795
331.556380030838,80.5230673507254,24.76187,22.13801,21.80139,21.68894,21.57854
329.037200067146,79.6126966188068,21.69263,25.53572,25.06165,23.95189,22.2747
328.777486223907,79.5222087035397,21.81404,20.88494,20.57857,20.51705,20.70917
328.853466024672,79.5198012166182,21.86993,20.60521,20.1228,19.91664,19.81742
329.006834867245,79.6142271711443,23.72001,22.57634,22.16288,21.66698,22.41595
329.933316723474,79.9417271032848,23.91513,22.56461,22.82973,22.48297,21.84685
329.851238677287,79.9608499214712,20.01604,19.0597,18.80591,18.75208,18.7414
329.730444153573,79.907559977031,20.0626,18.69161,18.12772,17.89871,17.78646
329.972299934741,80.0067473344556,22.15473,20.97777,20.47116,20.38679,20.22126
329.51786302214,79.8312366715265,21.31338,20.65178,20.34824,20.35435,20.13267
329.605704597804,79.850057115917,21.84525,21.71683,21.46519,21.50317,21.07428
329.982191304052,80.0031517038392,22.17737,20.38803,19.9379,19.87166,19.84446
329.774837303603,79.9307858167407,23.52603,23.22828,22.73753,22.28688,22.06312
329.640919071276,79.8635085969868,23.12826,21.2712,21.08582,20.79375,21.35274
329.665013260499,79.8668145427637,21.90123,20.95234,20.67571,20.6664,20.70041
330.010306551026,79.9755684061951,25.17649,22.35121,22.21563,21.80647,21.22624
329.703281960994,79.8751696490271,22.25267,21.50537,21.04433,20.90819,21.30548
329.939984505494,79.9478584175368,23.61806,23.06504,22.75749,22.3861,22.22448
329.66566391463,79.8495345680887,24.0509,23.96376,23.38486,21.90022,21.82678
329.692520485522,79.8499245675627,23.60579,23.54996,23.31836,22.12391,22.28185
329.140033573453,79.6808344858208,17.58936,15.9344,15.37935,15.18955,15.14148
329.190502856232,79.669237936348,17.62783,16.43035,16.02611,15.87655,15.84142
329.375583876524,79.7251022471726,18.91784,17.99433,17.74668,17.65701,17.67128
329.129131350456,79.630489487032,19.93964,19.01595,18.86708,18.76901,18.80791
329.390743913223,79.7833532911093,21.29749,24.29248,24.54369,24.53183,22.08096
329.251790705219,79.7241578128762,22.53123,24.17175,24.42236,25.0285,23.59174
329.064018505476,79.6427925624326,23.77258,22.18311,21.92971,22.05197,20.96565
329.399911169572,79.7479807874369,21.30374,21.09784,20.71668,20.68564,20.501
329.282285947565,79.7083342909346,23.0255,24.67441,24.78086,23.60419,23.72597
329.332083634859,79.7188797635282,21.45682,20.56433,20.04517,19.78185,19.78859
329.086904485107,79.6264126352024,22.14428,21.637,21.13035,20.97836,20.54624
329.016694496551,79.632839036286,23.25341,22.04015,21.54539,21.34691,21.20706
329.522412722211,79.8017903652231,23.42233,24.62238,24.45757,23.44034,20.96132
329.340545866173,79.7505007240799,23.85809,24.89109,24.67496,22.36459,23.63459
330.295817411119,80.0923939661022,16.69959,15.42354,14.98299,14.83451,14.80191
330.226887354607,80.05981638427,18.34599,16.8368,16.30021,16.1132,16.03815
330.22817738403,80.0620742948219,21.5876,22.16646,22.22799,21.81522,22.45848
330.214166553988,80.0601926964398,24.61737,24.9905,24.95157,25.2842,20.58967
330.134871693357,80.0183488483449,18.14452,16.84767,16.37942,16.20922,16.1752
330.183183400011,80.0432371875721,19.75733,18.35865,17.81594,17.60423,17.51434
330.080656648293,80.0085587293413,19.43948,18.90343,18.82269,18.84396,18.6829
330.13352359921,80.050711773974,21.59325,20.28839,19.85992,19.65956,19.58161
330.334434274275,80.1053618372056,21.28547,20.49543,20.22915,20.09076,20.15605
330.213250350974,80.0930861788928,23.01211,22.69416,22.84625,23.13204,21.20616
330.064403594375,80.0325369504492,24.50342,22.35274,21.76477,21.47844,21.31982
330.400126664138,80.1084340584707,23.1172,21.94897,21.56041,21.5209,21.89635
330.377582061154,80.1175427136394,24.77463,24.89387,24.65064,24.91466,20.88347
331.185144198694,80.3676192347488,16.83661,15.73939,15.39571,15.28441,15.26395
