#Please input x: 0
#Please input z: 0.1
#Please input ymin: -150
#Please input ymax: 150
#Please input y increment: 1
#y r g gx gy gz 
38.000000 38.000132 384.344981 0.000000 -384.264566 -7.861785 
39.000000 39.000128 367.394421 0.000000 -367.135278 -13.796670 
40.000000 40.000125 403.042043 0.000000 -390.306757 -100.516286 
41.000000 41.000122 618.866940 0.000000 -618.639938 -16.760570 
42.000000 42.000119 609.344582 0.000000 -609.284655 -8.545743 
43.000000 43.000116 599.705312 0.000000 -599.675954 -5.933997 
44.000000 44.000114 590.299548 0.000000 -590.281378 -4.631501 
45.000000 45.000111 581.153572 0.000000 -581.140883 -3.840374 
46.000000 46.000109 572.264256 0.000000 -572.254725 -3.302681 
47.000000 47.000106 563.623126 0.000000 -563.615615 -2.909681 
48.000000 48.000104 555.220656 0.000000 -555.214533 -2.607502 
49.000000 49.000102 547.047342 0.000000 -547.042224 -2.366358 
50.000000 50.000100 539.094024 0.000000 -539.089663 -2.168403 
51.000000 51.000098 531.351978 0.000000 -531.348205 -2.002268 
52.000000 52.000096 523.812934 0.000000 -523.809630 -1.860349 
53.000000 53.000094 516.469062 0.000000 -516.466140 -1.737356 
54.000000 54.000093 509.312954 0.000000 -509.310347 -1.629486 
55.000000 55.000091 502.337592 0.000000 -502.335250 -1.533926 
56.000000 56.000089 495.536326 0.000000 -495.534209 -1.448549 
57.000000 57.000088 488.902849 0.000000 -488.900925 -1.371712 
58.000000 58.000086 482.431171 0.000000 -482.429414 -1.302122 
59.000000 59.000085 476.115601 0.000000 -476.113990 -1.238747 
60.000000 60.000083 469.950723 0.000000 -469.949240 -1.180750 
61.000000 61.000082 463.931379 0.000000 -463.930010 -1.127445 
62.000000 62.000081 458.052655 0.000000 -458.051386 -1.078265 
63.000000 63.000079 452.309861 0.000000 -452.308682 -1.032734 
64.000000 64.000078 446.698520 0.000000 -446.697422 -0.990448 
65.000000 65.000077 441.214353 0.000000 -441.213328 -0.951066 
66.000000 66.000076 435.853269 0.000000 -435.852310 -0.914294 
67.000000 67.000075 430.611351 0.000000 -430.610452 -0.879877 
68.000000 68.000074 425.484851 0.000000 -425.484007 -0.847595 
69.000000 69.000072 420.470174 0.000000 -420.469380 -0.817255 
70.000000 70.000071 415.563876 0.000000 -415.563127 -0.788687 
71.000000 71.000070 410.762649 0.000000 -410.761943 -0.761741 
72.000000 72.000069 406.063320 0.000000 -406.062653 -0.736284 
73.000000 73.000068 401.462841 0.000000 -401.462209 -0.712199 
74.000000 74.000068 396.958281 0.000000 -396.957682 -0.689379 
75.000000 75.000067 392.546824 0.000000 -392.546256 -0.667729 
76.000000 76.000066 388.225760 0.000000 -388.225221 -0.647164 
77.000000 77.000065 383.992482 0.000000 -383.991969 -0.627606 
78.000000 78.000064 379.844479 0.000000 -379.843991 -0.608986 
79.000000 79.000063 375.779332 0.000000 -375.778867 -0.591240 
80.000000 80.000062 371.794712 0.000000 -371.794269 -0.574310 
81.000000 81.000062 367.888374 0.000000 -367.887950 -0.558144 
82.000000 82.000061 364.058150 0.000000 -364.057746 -0.542692 
83.000000 83.000060 360.301953 0.000000 -360.301567 -0.527912 
84.000000 84.000060 356.617767 0.000000 -356.617397 -0.513761 
85.000000 85.000059 353.003647 0.000000 -353.003293 -0.500203 
86.000000 86.000058 349.457714 0.000000 -349.457374 -0.487203 
87.000000 87.000057 345.978153 0.000000 -345.977828 -0.474729 
88.000000 88.000057 342.563213 0.000000 -342.562900 -0.462752 
89.000000 89.000056 339.211199 0.000000 -339.210899 -0.451244 
90.000000 90.000056 335.920475 0.000000 -335.920186 -0.440179 
91.000000 91.000055 332.689457 0.000000 -332.689179 -0.429535 
92.000000 92.000054 329.516613 0.000000 -329.516347 -0.419289 
93.000000 93.000054 326.400464 0.000000 -326.400207 -0.409420 
94.000000 94.000053 323.339576 0.000000 -323.339329 -0.399909 
95.000000 95.000053 320.332561 0.000000 -320.332323 -0.390739 
96.000000 96.000052 317.378077 0.000000 -317.377847 -0.381893 
97.000000 97.000052 314.474824 0.000000 -314.474602 -0.373355 
98.000000 98.000051 311.621541 0.000000 -311.621327 -0.365110 
99.000000 99.000051 308.817009 0.000000 -308.816802 -0.357145 
100.000000 100.000050 306.060045 0.000000 -306.059846 -0.349446 
101.000000 101.000050 303.349505 0.000000 -303.349312 -0.342002 
102.000000 102.000049 300.684276 0.000000 -300.684089 -0.334801 
103.000000 103.000049 298.063282 0.000000 -298.063102 -0.327832 
104.000000 104.000048 295.485478 0.000000 -295.485304 -0.321084 
105.000000 105.000048 292.949853 0.000000 -292.949684 -0.314549 
106.000000 106.000047 290.455421 0.000000 -290.455258 -0.308218 
107.000000 107.000047 288.001231 0.000000 -288.001072 -0.302080 
108.000000 108.000046 285.586356 0.000000 -285.586202 -0.296129 
109.000000 109.000046 283.209898 0.000000 -283.209749 -0.290357 
110.000000 110.000045 280.870984 0.000000 -280.870840 -0.284757 
111.000000 111.000045 278.568768 0.000000 -278.568628 -0.279321 
112.000000 112.000045 276.302427 0.000000 -276.302291 -0.274043 
113.000000 113.000044 274.071161 0.000000 -274.071029 -0.268917 
114.000000 114.000044 271.874194 0.000000 -271.874066 -0.263936 
115.000000 115.000043 269.710771 0.000000 -269.710646 -0.259096 
116.000000 116.000043 267.580159 0.000000 -267.580038 -0.254391 
117.000000 117.000043 265.481645 0.000000 -265.481528 -0.249816 
118.000000 118.000042 263.414536 0.000000 -263.414422 -0.245365 
119.000000 119.000042 261.378158 0.000000 -261.378047 -0.241035 
120.000000 120.000042 259.371855 0.000000 -259.371747 -0.236821 
121.000000 121.000041 257.394989 0.000000 -257.394884 -0.232719 
122.000000 122.000041 255.446941 0.000000 -255.446838 -0.228724 
123.000000 123.000041 253.527106 0.000000 -253.527006 -0.224834 
124.000000 124.000040 251.634897 0.000000 -251.634800 -0.221043 
125.000000 125.000040 249.769742 0.000000 -249.769647 -0.217350 
126.000000 126.000040 247.931085 0.000000 -247.930993 -0.213750 
127.000000 127.000039 246.118383 0.000000 -246.118293 -0.210240 
128.000000 128.000039 244.331109 0.000000 -244.331022 -0.206817 
129.000000 129.000039 242.568749 0.000000 -242.568664 -0.203479 
130.000000 130.000038 240.830802 0.000000 -240.830719 -0.200222 
131.000000 131.000038 239.116780 0.000000 -239.116699 -0.197045 
132.000000 132.000038 237.426209 0.000000 -237.426130 -0.193943 
133.000000 133.000038 235.758624 0.000000 -235.758547 -0.190915 
134.000000 134.000037 234.113575 0.000000 -234.113500 -0.187959 
135.000000 135.000037 232.490622 0.000000 -232.490548 -0.185072 
136.000000 136.000037 230.889335 0.000000 -230.889263 -0.182252 
137.000000 137.000036 229.309297 0.000000 -229.309227 -0.179496 
138.000000 138.000036 227.750099 0.000000 -227.750031 -0.176804 
139.000000 139.000036 226.211344 0.000000 -226.211277 -0.174173 
140.000000 140.000036 224.692644 0.000000 -224.692578 -0.171600 
141.000000 141.000035 223.193620 0.000000 -223.193556 -0.169086 
142.000000 142.000035 221.713903 0.000000 -221.713840 -0.166626 
143.000000 143.000035 220.253132 0.000000 -220.253071 -0.164221 
144.000000 144.000035 218.810957 0.000000 -218.810897 -0.161868 
145.000000 145.000034 217.387033 0.000000 -217.386974 -0.159566 
146.000000 146.000034 215.981025 0.000000 -215.980968 -0.157313 
147.000000 147.000034 214.592607 0.000000 -214.592551 -0.155109 
148.000000 148.000034 213.221458 0.000000 -213.221403 -0.152950 
149.000000 149.000034 211.867268 0.000000 -211.867214 -0.150838 
150.000000 150.000033 210.529730 0.000000 -210.529677 -0.148769 

