# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
334.685403247503,80.096439721208,17.15715,15.94811,15.51337,15.3488,15.31387
334.533500786014,80.0479659409748,18.34291,17.05171,16.60499,16.45823,16.40738
334.024433760445,79.9936904153604,19.22833,17.88411,17.40639,17.2354,17.11766
334.664954810158,80.1407447659763,19.43206,18.61981,18.38858,18.30387,18.31478
334.200149659956,80.1099172616727,21.92317,21.45459,21.22677,21.2252,20.98664
333.870167656441,80.0060755316025,22.52502,22.00035,21.86361,21.71819,21.26439
333.873564622063,80.0054822779035,23.36545,22.51165,22.28456,21.8957,22.05848
334.235240018477,80.061447032081,22.10756,21.81403,21.49941,21.0823,20.82056
334.542132754257,80.10185768087,23.17595,21.77487,21.35643,21.24543,20.72658
334.369397006876,80.0542780966992,22.80594,21.96269,21.78282,21.31588,21.45833
334.382374835896,79.9989762058444,24.17121,22.58735,22.2948,22.12023,21.07444
330.963732172794,80.2856136238188,24.09389,22.62596,22.21046,21.77272,21.91932
330.731518051405,80.2636872223624,25.99458,23.10242,22.53067,22.61695,21.67323
330.564096714264,80.2023968029069,17.40801,16.15253,15.68788,15.53633,15.47626
330.600091868949,80.1577679322053,16.85382,15.7217,15.33073,15.2029,15.15505
331.178941763164,80.2328844113624,20.01764,19.50684,19.53112,19.49922,19.34017
330.810740820907,80.2927308984103,23.10219,22.99928,22.7643,22.70075,22.39011
330.674977007532,80.2463343749934,22.99593,22.75379,22.9769,22.15327,21.15454
330.992289629885,80.2278590260009,22.42244,22.7662,22.60741,22.29511,21.87525
331.136384273897,80.2172809304734,22.93203,22.54316,22.5165,22.71157,21.96711
330.909665569562,80.076377858232,24.05056,23.40484,22.90372,22.15752,21.77819
331.303983909676,80.140161843371,18.52789,17.38926,17.51403,17.66611,17.78104
331.680637397946,80.0358125912773,16.19345,14.85411,14.4291,14.3036,14.28512
331.540977806034,80.1117148476888,20.16875,19.17657,18.79212,18.64196,18.56495
331.936826715441,80.1179988696696,20.00868,19.01782,18.72455,18.5995,18.58813
331.77360003168,80.0656840600378,19.41867,18.06454,17.55235,17.35223,17.29395
332.193364532159,80.1460201266062,20.73887,19.53169,19.06285,18.8595,18.81981
331.978968814492,80.0767175647419,20.87678,19.91417,19.44351,19.27087,19.19295
331.582121159298,80.2345448208434,25.8405,21.96112,21.78607,21.73597,21.68616
331.349625041623,80.160369023884,22.45959,22.76479,22.46563,21.93417,21.93843
331.196028107923,80.0544802126767,22.87988,22.27543,22.0086,21.96348,21.19445
331.424187202322,80.070976014429,23.19617,23.03469,22.73472,22.69549,22.51417
331.579477210136,80.0600968386626,24.42232,22.1037,21.69488,21.63616,21.62431
332.625688178973,80.1215245803208,21.422,20.06126,19.52784,19.37657,19.25465
332.780600222465,80.0517701341864,19.44744,18.39182,17.9923,17.85502,17.79521
332.62186554387,79.9932583000432,20.75799,19.73943,19.76048,19.89399,19.88486
332.185510296614,80.0890546844059,20.90561,20.40939,20.57931,20.30241,20.09965
331.881202948292,79.9879579741626,20.09501,19.95348,19.79456,19.8788,19.84863
332.323858515437,79.9544552457099,21.94469,21.18991,20.86397,20.87911,20.83579
332.268605796782,79.9373125120528,21.68618,20.6956,20.55637,20.4992,20.35197
332.383035264231,79.9198699094288,21.90481,20.92783,20.74297,20.65709,20.60453
332.401167987839,79.9204218641045,21.11514,20.18791,19.988,19.91269,19.91824
331.817491440242,80.0187598651836,22.17076,21.07475,20.86982,20.76859,21.05075
331.749481995008,79.9971115920891,23.997,22.62639,22.41673,21.99581,21.46297
332.167700938035,80.0843866132374,22.72768,21.45832,21.148,20.97906,21.0976
332.283783990901,80.0615561991321,22.2985,21.9684,21.57751,21.53756,21.60747
332.589481215457,80.1057566464254,23.10015,21.37289,21.10738,20.91007,21.18214
332.286681440664,79.9456261456006,23.02079,22.40574,22.04152,21.90193,21.97444
332.512186232803,79.9629049595619,25.37529,22.52833,22.25593,22.47974,21.34861
332.482496668236,79.9522204844933,23.73512,22.34465,21.81735,21.79577,21.62776
332.439499303301,79.938249713227,24.29435,22.8133,22.27962,21.90768,21.38449
332.408852714422,79.9290376568908,22.25269,21.18984,20.9749,20.88538,20.67809
332.412592627077,79.9253413612598,23.20122,22.47553,22.16011,21.93643,21.85813
332.658898500803,80.0083792465582,23.50018,23.01869,22.49049,22.25095,22.27762
332.420112070642,79.9316073480413,25.56004,23.09624,22.55022,22.38909,21.94082
333.063443874789,80.0802033854822,18.27757,17.07494,16.6768,16.54443,16.5073
332.791045982406,79.9350037438027,17.14225,15.99213,15.61013,15.50631,15.46239
333.013823941769,79.8975761844226,20.93096,19.96194,19.67774,19.52157,19.56023
333.004980058687,79.892436223225,22.68526,21.79846,21.51825,21.44692,21.73712
332.998190458552,79.8927959320461,23.76202,22.73955,22.33927,22.19688,22.10113
333.009381157498,79.8991876546287,23.92234,22.75704,22.28214,22.07844,21.64726
333.093694917588,79.8652312653306,21.36748,20.5496,20.23785,20.18729,20.29189
