# ra, dec, dered_g, dered_r, dered_u, flags
229.54146342,1.9461461,20.6832847595,20.2770366669,22.2570762634,68987912208.0
229.53722489,1.93019966,19.6475162506,19.3572311401,20.6551322937,68987912192.0
229.5372629,1.9348602,20.0578651428,19.7068347931,21.0590171814,68987912192.0
229.54830001,1.95798772,19.6919612885,19.3867073059,20.6513767242,68987912192.0
229.54716493,1.90066999,19.4343509674,19.1632041931,20.3309879303,68988043264.0
229.5396409,1.9746685,20.4431648254,19.9976634979,22.2853145599,7.04377320901e+13
229.53850957,1.92138293,20.4087772369,20.0010623932,21.3269481659,68987912704.0
229.54110172,1.9685722,18.7713699341,18.5256690979,19.7226696014,68987912208.0
229.54454051,1.90567769,20.212469101,19.8676586151,21.1696376801,69021466640.0
229.54405375,1.94895985,19.1525821686,18.89884758,20.068157196,68987912208.0
229.544466,1.9509088,19.9910144806,19.6466617584,21.1063346863,69021602320.0
229.54700013,1.95461415,20.6129341125,20.1726608276,21.5287342072,68987912464.0
229.54903858,1.95334363,20.0292625427,19.6999397278,21.047668457,68988043280.0
229.54114569,1.92137993,20.1759986877,19.8280239105,21.1549320221,68987912704.0
229.55519348,1.95416186,18.7293262482,18.4940814972,19.615190506,68987912208.0
229.55915111,1.95578458,20.4521827698,20.058139801,21.6807727814,68987912208.0
229.54910144,1.95523289,20.2577285767,19.8548984528,21.6514415741,69021466640.0
229.5492505,1.94966207,20.2780017853,19.8748092651,21.8173408508,68987912192.0
229.55024141,1.97069124,19.3855018616,19.1267585754,20.3623008728,1.76611740877e+13
229.55398925,1.89764188,20.4589138031,20.0224399567,21.6272621155,68987912976.0
229.55500756,1.89777102,21.8274745941,21.2364635468,23.2568378448,7.04377320899e+13
229.55512716,1.89150255,20.4953536987,20.0509929657,21.6402454376,68987912464.0
229.55615218,1.90153146,18.8563461304,18.5904121399,19.7594566345,69055021128.0
229.55829626,1.96039728,19.0274753571,18.810136795,19.927734375,1.76611740877e+13
229.55665944,1.90620068,20.540807724,20.1370983124,21.3104457855,68987912192.0
229.56194715,1.94969875,20.3729095459,20.066570282,21.3462028503,68987912192.0
229.56400242,1.92063972,20.3983802795,20.0281448364,21.5075588226,68987912208.0
229.56248222,1.90440471,20.1581459045,19.8130626678,21.2204608917,68987912192.0
229.56380966,1.93462473,20.0496101379,19.6922149658,20.9223365784,68987912192.0
229.56509659,1.95626158,20.558057785,20.2194728851,21.6362552643,68988043280.0
229.57411593,1.93447805,19.2404594421,18.9712162018,20.1137142181,68987912208.0
229.56477349,1.92403744,19.4707374573,19.164648056,20.549779892,68987912208.0
229.56284537,1.92787098,19.8350887299,19.5380878448,20.9569702148,71168950800.0
229.56835146,1.93013728,19.7578907013,19.4773197174,20.8265838623,1.58398696002e+14
229.56626905,1.92476454,21.3018493652,20.8639221191,23.0102424622,68987912464.0
229.56232692,1.9288029,21.1373996735,20.6237373352,22.2993068695,7.04377320899e+13
229.56619656,1.91143419,20.1433773041,19.816570282,21.0323390961,7.20576630258e+16
229.56110784,1.92597994,21.2165908813,20.7470722198,22.830116272,68987912464.0
229.58103717,1.91295796,19.7102165222,19.4152317047,20.5551700592,68987912208.0
229.57892371,1.9119903,20.0329647064,19.7020530701,20.9686107635,69021601840.0
229.57951164,1.91215779,20.3895111084,19.9941005707,21.494512558,7.0437732225e+13
229.57519052,1.92761948,19.41056633,19.1327400208,20.2728099823,68987912720.0
229.57773336,1.93376032,19.6607131958,19.4198799133,20.7244644165,68987912208.0
229.5769391,1.93495191,21.5274181366,20.9432945251,22.740776062,1.40806476403e+14
229.58765815,1.93806948,20.2268428802,19.9214611053,21.2334213257,68987912208.0
229.57911331,1.92121587,19.5978050232,19.3557815552,20.5728054047,68987912208.0
229.58025357,1.95041457,19.7435359955,19.4861183167,20.7981510162,69021597712.0
229.57807976,1.95114605,20.871805191,20.4161586761,22.2719402313,2.28767406621e+14
229.58062121,1.88586847,19.5533103943,19.2682991028,20.3784141541,69021466640.0
229.58066619,1.94271121,20.5812988281,20.1774578094,21.5890674591,68987912208.0
229.5825077,1.94200153,20.9546871185,20.5258369446,22.4577846527,7.04377320899e+13
229.58186665,1.90159718,20.489238739,20.0489406586,21.4817733765,68987912192.0
229.58429554,1.92314547,20.3835716248,19.9384059906,21.744550705,68987912704.0
229.58440541,1.89790909,21.0099773407,20.5229949951,21.8383464813,71135395856.0
229.5938736,1.94162699,20.9894943237,21.1448841095,22.8788852692,7.04034059059e+13
229.59667325,1.93890043,20.0345973969,19.7227859497,20.9800167084,68987912208.0
229.59474203,1.93922935,20.6593589783,20.2696685791,21.7840270996,68987912208.0
229.59579859,1.94298281,20.9927825928,20.4231128693,22.6812515259,103347785744.0
229.59357429,1.9434023,20.7472820282,20.2614421844,21.8550987244,68987912208.0
229.58652138,1.91144154,20.2174949646,19.9045982361,21.0718040466,68987912192.0
229.57806308,1.94037013,20.1008071899,19.7374076843,21.0963840485,68987912208.0
229.59293059,1.95034778,22.1065177917,21.8711566925,23.2533321381,7.04377657757e+13
229.58791644,1.9064027,20.2134227753,19.8666629791,21.2673568726,68987912208.0
229.59596372,1.94143721,18.9370536804,18.6981735229,19.7817497253,68987912208.0
229.59347578,1.94165606,19.4228839874,18.9876613617,20.2991943359,7.04398795735e+13
229.595231,1.92870774,19.740896225,19.4537353516,20.748960495,69021597712.0
229.59304296,1.90458933,20.2498188019,19.9157371521,21.3035297394,68987912208.0
229.60701026,1.94854416,20.5202884674,20.1295719147,22.0026435852,7.04377320899e+13
229.59578977,1.92135332,18.6926727295,18.0953121185,20.4451065063,68988047376.0
229.58864678,1.95192286,21.2311592102,20.7276344299,23.2749195099,68988043536.0
229.5965781,1.95514543,20.2985744476,19.9719543457,21.5964336395,69021597712.0
229.59590212,1.88982405,18.4469108582,18.2395839691,19.3875026703,68987912192.0
229.60671876,1.94894526,19.5609855652,19.3135242462,20.3837833405,7.2057663026e+16
229.60442603,1.94460614,19.6139354706,19.3962402344,20.581079483,7.20576630594e+16
229.59462493,1.93402708,20.5120277405,20.1662998199,21.6898403168,7.20576630258e+16
229.59660884,1.90516066,19.6102199554,19.3653240204,20.5074424744,69021466640.0
229.59365272,1.90731388,21.0194206238,20.4956760406,22.6665744781,68987912464.0
229.60322559,1.94540551,20.2909412384,19.9788227081,21.0828971863,7.20576630595e+16
229.60793381,1.94917866,21.0267791748,20.4957427979,22.0643119812,7.212803177e+16
229.60686175,1.94972838,20.8337078094,20.4878940582,23.4249858856,1.44115291424e+17
229.60546561,1.93697759,20.3121643066,19.9298839569,21.5209579468,71135395856.0
229.60619153,1.93615002,20.3849105835,19.9709606171,20.9976978302,7.20576630594e+16
229.60623215,1.94758556,22.1417942047,21.588973999,24.4163627625,7.03690461676e+13
229.60442671,1.94826729,22.4431819916,21.8645076752,23.6760578156,68987912208.0
229.59901071,1.91586371,19.2971687317,19.0688915253,20.225818634,1.58398662443e+14
229.60398445,1.93488453,20.0187988281,19.6966514587,20.9743537903,68987912208.0
229.60487959,1.9343623,20.6397895813,20.241558075,21.5204257965,68988047376.0
229.60629727,1.93410513,21.780254364,21.3133163452,22.4184341431,7.04377322251e+13
229.6043542,1.92098441,20.1110744476,19.7702960968,21.166934967,68987912208.0
229.6049291,1.92214167,20.2077198029,19.858171463,21.3564128876,71168950288.0
229.59712635,1.91258527,19.5682067871,19.2640762329,20.5110969543,68987912192.0
229.59882726,1.88212807,19.6340675354,19.1686935425,20.9363117218,68987912208.0
229.6056979,1.91258712,19.5185546875,19.1169223785,20.5732021332,68987912208.0
229.60529463,1.91448514,19.2944068909,19.0435523987,20.2386188507,71168950288.0
229.6081207,1.94648442,19.2665557861,19.0498218536,20.2216529846,7.20576651735e+16
229.60909982,1.9465572,21.1682090759,20.7074394226,22.2227878571,7.04377322209e+13
229.61484338,1.88476848,19.7784633636,19.4752979279,20.7958526611,68987912208.0
229.61683497,1.91686233,20.01861763,19.7421398163,21.0053386688,68987912208.0
229.59689785,1.92592781,20.057882309,19.6352844238,20.8887310028,68987912208.0
229.61809116,1.93884679,18.6374588013,18.436384201,19.6451358795,68988047376.0
229.61474511,1.92601597,20.1424350739,19.7426147461,20.9757061005,68987912208.0
229.61397856,1.92423787,21.068731308,20.5449695587,22.3164272308,7.04377320899e+13
229.61632534,1.88685837,18.7323417664,18.5140247345,19.6334438324,1.76612076462e+13
229.60942441,1.93563158,19.8340950012,19.5971660614,20.6986484528,68987912192.0
229.60938926,1.90500656,19.7923545837,19.4599685669,21.0113430023,68987912208.0
229.61817826,1.89719341,20.4837284088,20.1049880981,21.6414642334,68987912208.0
229.61035421,1.92939579,22.439704895,21.8802776337,24.3793907166,7.04377657756e+13
229.62411179,1.92492875,19.5393104553,19.2824325562,20.5214519501,68987912208.0
229.6227853,1.92451065,20.2061271667,19.8372859955,21.1664409637,7.2057663026e+16
229.61955424,1.92806112,19.6146030426,19.3370933533,20.4305362701,68988043264.0
229.62119757,1.9314237,20.5525569916,20.0126838684,21.5931663513,2.28767406621e+14
229.6214622,1.93828908,19.7668704987,19.4879684448,20.6433105469,7.20576630258e+16
229.62152892,1.936514,19.5171871185,19.2175312042,20.5230998993,68988047376.0
229.60873879,1.91940755,19.389213562,19.11860466,20.2565536499,68987912720.0
229.60813249,1.92095557,20.6646366119,20.2707996368,22.0969161987,7.04377320901e+13
229.62299958,1.94625392,19.0703125,18.8145236969,20.0134277344,68988043280.0
229.62324658,1.94550459,19.5853652954,19.334695816,20.6619606018,7.20576630595e+16
229.62198604,1.94311133,20.3524360657,19.9654121399,21.225484848,68987912192.0
229.62124213,1.88021665,19.1188354492,18.8522090912,19.9411811829,68987912192.0
229.62317355,1.89667441,19.1300964355,18.9286079407,20.0166244507,68987912208.0
229.62514166,1.89439141,19.9387512207,19.6118488312,21.1170940399,68987912192.0
229.62383023,1.90425755,19.6153793335,19.3465480804,20.7260036469,68987912208.0
229.626315,1.90432035,19.8246154785,19.5437736511,20.733297348,69021466640.0
229.6235589,1.90247178,21.1943492889,20.6919727325,22.8290214539,7.04377320899e+13
229.51217356,1.93591834,21.4875831604,20.914018631,23.884765625,68987912464.0
229.51475257,1.95204126,20.8522472382,20.668504715,21.6178741455,68987912208.0
229.5168297,1.97402424,20.8596382141,20.347284317,21.877363205,68987912240.0
229.51680859,1.95777462,20.8173809052,20.4295368195,21.7215270996,68988043280.0
229.51682617,1.9565167,21.1681003571,20.579284668,22.2308368683,7.04377320899e+13
