#dered_u,err_u,psfMag_u,psfMagErr_u,extinction_u
20.8378562927246,0.0771005004644394,21.1275482177734,0.0728016197681427,0.283176511526108
22.9906253814697,0.427742809057236,23.217586517334,0.389631003141403,0.287643641233444
21.354377746582,0.112585216760635,21.6408882141113,0.105300262570381,0.294629037380219
21.2784538269043,0.106921128928661,21.5792007446289,0.101034812629223,0.286167502403259
21.8500175476074,0.167538195848465,22.0864906311035,0.151615262031555,0.28774294257164
23.9966945648193,0.871993064880371,24.240701675415,1.06133615970612,0.290402323007584
23.9472904205322,0.709964096546173,24.2187976837158,0.686144232749939,0.285985678434372
20.0484275817871,0.0431013479828835,20.3396396636963,0.0411847271025181,0.294295787811279
20.8662548065186,0.0783893689513206,21.1788349151611,0.0741962641477585,0.300926923751831
21.8106327056885,0.167003333568573,22.0550975799561,0.151756644248962,0.281543672084808
