#ra,dec,dered_g,dered_r,dered_u,flags
205.41282845,28.37569526,18.98855,18.728472,19.971752,35253395259412
205.41010505,28.38216465,18.994329,18.686224,19.88632,193583069659156
205.15687577,28.25715537,22.91287,22.368544,24.145971,35255507620112
205.40859778,28.37137215,16.716032,16.132723,18.134029,35253395259412
205.40412511,28.417428,16.759573,16.170282,18.074005,35219001971292
205.40133913,28.40680184,19.083286,18.798027,20.004065,35219035521116
205.41426551,28.37769668,19.086832,18.819988,20.041052,35253395259412
205.15394183,28.27867226,24.84243,24.035309,25.45105,281543964623104
205.40857652,28.3884641,19.346365,19.074821,20.309759,193583069659156
205.15985082,28.29476315,19.482899,19.237425,20.453922,35253360136208
205.39917671,28.33466245,19.601223,19.24057,20.561152,35253393686544
205.4019378,28.3382779,20.507,20.118647,21.374224,35253393686544
205.40457448,28.33909215,20.698965,20.366896,21.597086,35253360132112
205.40219894,28.33466501,20.882729,20.460287,22.501486,105622104310288
205.4060266,28.33865172,21.065933,20.631676,21.979342,35253360132112
205.40494879,28.33869341,22.790081,22.724007,23.68228,72163216142238224
205.40134658,28.3370545,22.445595,21.688953,23.81773,105622137864464
205.40185982,28.33642875,23.263525,22.34552,24.850189,35253393690896
205.39902338,28.29012758,19.045303,18.770853,19.89555,35253360656400
205.40041922,28.40578902,19.094013,18.813915,20.081257,35219035521116
205.41762605,28.36947293,19.063017,18.748426,19.990593,35253395259412
205.41527092,28.39792598,19.2143,18.912809,20.135221,35219035521116
205.16734497,27.8415038,10.532368,10.183315,13.882259,483856286617616
205.15310078,27.96736238,20.41766,20.142677,21.214628,68987912192
205.40369568,28.36444531,18.972651,18.777805,19.902908,35253361709076
204.79749092,28.06194807,23.507294,23.005953,24.265757,281543964623104
204.79751323,28.02992373,23.317331,22.432072,24.44326,281543964623616
204.74323366,28.06044209,21.690598,20.703497,24.927366,68988043264
204.70770526,27.92116893,23.338001,23.000357,25.09499,105622137733464
205.41069014,28.41071224,19.328291,18.990917,20.331751,52845581303900
205.41357187,28.40036272,19.246059,18.958044,20.162115,35219035521116
205.74439764,27.80966112,22.285118,21.874634,23.705454,68987912704
205.40877564,28.33490883,23.811743,22.824385,24.532465,387097116152084
205.42009729,28.39529627,19.373995,19.094437,20.301445,35219035521116
205.41338778,28.39632331,19.370193,19.087648,20.343058,35219035521116
205.40007,28.33882275,20.123177,19.809029,21.142563,35253393686544
205.39935172,28.33853773,20.543341,20.170696,21.591625,35253393686544
205.16767258,28.39136526,21.254078,20.775892,22.083357,105622104313872
205.14965122,28.29825095,23.201969,22.998457,25.956491,281543964754176
205.15863493,28.33846164,21.265388,20.728197,22.878801,69055021128
205.98209007,27.73567931,23.0473,22.483633,24.982567,281543964623104
205.98957856,27.77238649,22.633488,21.678703,24.407372,68987912960
205.98565184,27.77019906,16.369833,15.894295,17.663351,68987912704
205.16322612,27.89150054,21.710873,21.196314,22.660627,68988043776
205.15970099,27.96709533,21.371555,20.484583,24.268841,158398662443264
205.14770362,27.91152581,21.754145,21.034594,25.315119,68987912960
205.16519668,28.01120899,21.972944,21.367445,23.92205,175990848487696
205.41270906,28.34755733,22.619776,21.784353,24.601254,105622139437332
204.74157013,28.06873405,20.325562,19.656376,22.365341,68988043520
204.74180413,27.97580897,19.657536,19.416168,20.66227,68987912192
205.40564097,28.31610676,20.117064,19.807306,21.056137,35253394079764
205.40718729,28.31704562,21.161665,20.697702,22.516363,105622104834580
205.40487599,28.32306763,20.539009,20.164146,21.811075,35253394210836
205.40542433,28.32206432,20.689955,20.217299,21.808233,193583035056660
205.40560308,28.32636158,20.72859,20.422663,22.024342,35253360656404
205.40794777,28.32887206,20.88843,20.51235,21.687847,35253360656916
205.40619582,28.32237025,21.663782,21.176813,24.313807,35253360656660
205.40401027,28.32400537,22.832472,22.112366,25.19326,35253394211092
205.16702905,27.97401705,18.490633,17.917152,19.808947,68987912704
205.40454896,28.31460348,22.515848,21.86483,22.924805,35253394210836
205.40688165,28.32804295,24.490616,23.584679,25.135832,72374322375299348
205.40664312,28.31905108,23.855135,22.979885,24.499649,105622138392924
